Fylke;2020-02-21;2020-02-22;2020-02-23;2020-02-24;2020-02-25;2020-02-26;2020-02-27;2020-02-28;2020-02-29;2020-03-01;2020-03-02;2020-03-03;2020-03-04;2020-03-05;2020-03-06;2020-03-07;2020-03-08;2020-03-09;2020-03-10;2020-03-11;2020-03-12;2020-03-13;2020-03-14;2020-03-15;2020-03-16;2020-03-17;2020-03-18;2020-03-19;2020-03-20;2020-03-21;2020-03-22;2020-03-23;2020-03-24;2020-03-25;2020-03-26;2020-03-27;2020-03-28;2020-03-29;2020-03-30;2020-03-31;2020-04-01;2020-04-02;2020-04-03;2020-04-04;2020-04-05;2020-04-06;2020-04-07;2020-04-08;2020-04-09;2020-04-10;2020-04-11;2020-04-12;2020-04-13;2020-04-14;2020-04-15;2020-04-16;2020-04-17;2020-04-18;2020-04-19;2020-04-20;2020-04-21;2020-04-22;2020-04-23;2020-04-24;2020-04-25;2020-04-26;2020-04-27;2020-04-28;2020-04-29;2020-04-30;2020-05-01;2020-05-02;2020-05-03;2020-05-04;2020-05-05;2020-05-06;2020-05-07;2020-05-08;2020-05-09;2020-05-10;2020-05-11;2020-05-12;2020-05-13;2020-05-14;2020-05-15;2020-05-16;2020-05-17;2020-05-18;2020-05-19;2020-05-20;2020-05-21;2020-05-22;2020-05-23;2020-05-24;2020-05-25;2020-05-26;2020-05-27;2020-05-28;2020-05-29;2020-05-30;2020-05-31;2020-06-01;2020-06-02;2020-06-03;2020-06-04;2020-06-05;2020-06-06;2020-06-07;2020-06-08;2020-06-09;2020-06-10;2020-06-11;2020-06-12;2020-06-13;2020-06-14;2020-06-15;2020-06-16;2020-06-17;2020-06-18;2020-06-19;2020-06-20;2020-06-21;2020-06-22;2020-06-23;2020-06-24;2020-06-25;2020-06-26;2020-06-27;2020-06-28;2020-06-29;2020-06-30;2020-07-01;2020-07-02;2020-07-03;2020-07-04;2020-07-05;2020-07-06;2020-07-07;2020-07-08;2020-07-09;2020-07-10;2020-07-11;2020-07-12;2020-07-13;2020-07-14;2020-07-15;2020-07-16;2020-07-17;2020-07-18;2020-07-19;2020-07-20;2020-07-21;2020-07-22;2020-07-23;2020-07-24;2020-07-25;2020-07-26;2020-07-27;2020-07-28;2020-07-29;2020-07-30;2020-07-31;2020-08-01;2020-08-02;2020-08-03;2020-08-04;2020-08-05;2020-08-06;2020-08-07;2020-08-08;2020-08-09;2020-08-10;2020-08-11;2020-08-12;2020-08-13;2020-08-14;2020-08-15;2020-08-16;2020-08-17;2020-08-18;2020-08-19;2020-08-20;2020-08-21;2020-08-22;2020-08-23;2020-08-24;2020-08-25;2020-08-26;2020-08-27;2020-08-28;2020-08-29;2020-08-30;2020-08-31;2020-09-01;2020-09-02;2020-09-03;2020-09-04;2020-09-05;2020-09-06;2020-09-07;2020-09-08;2020-09-09;2020-09-10;2020-09-11;2020-09-12;2020-09-13;2020-09-14;2020-09-15;2020-09-16;2020-09-17;2020-09-18;2020-09-19;2020-09-20;2020-09-21;2020-09-22;2020-09-23;2020-09-24;2020-09-25;2020-09-26;2020-09-27
Agder;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;5.0;7.0;9.0;9.0;10.0;22.0;42.0;57.0;64.0;72.0;82.0;86.0;91.0;97.0;100.0;107.0;113.0;120.0;122.0;123.0;130.0;134.0;147.0;160.0;165.0;170.0;172.0;191.0;207.0;221.0;224.0;231.0;232.0;236.0;244.0;249.0;258.0;261.0;264.0;264.0;269.0;269.0;278.0;281.0;286.0;296.0;301.0;301.0;308.0;312.0;317.0;319.0;321.0;322.0;322.0;326.0;327.0;328.0;331.0;332.0;333.0;335.0;336.0;336.0;338.0;338.0;339.0;339.0;339.0;339.0;339.0;339.0;339.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;341.0;342.0;342.0;342.0;342.0;343.0;343.0;343.0;343.0;343.0;343.0;344.0;345.0;346.0;346.0;346.0;346.0;347.0;347.0;347.0;347.0;347.0;347.0;347.0;347.0;347.0;348.0;348.0;348.0;348.0;348.0;348.0;348.0;348.0;348.0;348.0;349.0;349.0;349.0;351.0;351.0;351.0;351.0;351.0;351.0;351.0;351.0;351.0;352.0;352.0;352.0;353.0;353.0;353.0;353.0;354.0;354.0;354.0;354.0;354.0;355.0;355.0;356.0;357.0;357.0;357.0;358.0;360.0;361.0;367.0;369.0;375.0;376.0;376.0;380.0;380.0;381.0;382.0;384.0;385.0;386.0;392.0;394.0;398.0;404.0;406.0;407.0;408.0;414.0;416.0;417.0;418.0;419.0;419.0;420.0;421.0;422.0;424.0;425.0;426.0;426.0;427.0;428.0;431.0;433.0;439.0;444.0;445.0;445.0;445.0;445.0;445.0;445.0;445.0;445.0;479.0
Innlandet;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;4.0;7.0;14.0;14.0;18.0;19.0;31.0;54.0;62.0;77.0;89.0;99.0;107.0;121.0;129.0;142.0;168.0;185.0;194.0;197.0;220.0;248.0;256.0;280.0;293.0;304.0;305.0;316.0;331.0;342.0;347.0;353.0;358.0;360.0;371.0;376.0;379.0;380.0;381.0;384.0;385.0;387.0;391.0;394.0;398.0;401.0;403.0;404.0;407.0;410.0;413.0;414.0;419.0;419.0;420.0;424.0;426.0;432.0;433.0;434.0;434.0;438.0;442.0;445.0;448.0;449.0;452.0;452.0;455.0;459.0;460.0;463.0;467.0;469.0;469.0;469.0;469.0;472.0;475.0;476.0;479.0;479.0;479.0;484.0;485.0;489.0;490.0;494.0;494.0;496.0;497.0;498.0;498.0;498.0;498.0;498.0;499.0;499.0;499.0;499.0;500.0;501.0;501.0;501.0;501.0;501.0;501.0;501.0;502.0;502.0;502.0;503.0;503.0;503.0;503.0;503.0;503.0;503.0;503.0;503.0;503.0;503.0;504.0;504.0;504.0;505.0;505.0;505.0;505.0;508.0;508.0;508.0;509.0;509.0;509.0;509.0;509.0;509.0;509.0;513.0;514.0;515.0;515.0;515.0;515.0;515.0;516.0;516.0;518.0;519.0;521.0;521.0;521.0;522.0;523.0;525.0;527.0;527.0;527.0;527.0;528.0;530.0;534.0;537.0;546.0;547.0;549.0;550.0;552.0;554.0;554.0;554.0;555.0;555.0;556.0;557.0;558.0;567.0;571.0;576.0;578.0;580.0;587.0;588.0;589.0;593.0;594.0;595.0;597.0;598.0;600.0;603.0;605.0;605.0;605.0;608.0;610.0;615.0;620.0;621.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;648.0
Møre og Romsdal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;6.0;7.0;10.0;18.0;21.0;22.0;23.0;32.0;35.0;40.0;50.0;57.0;63.0;65.0;72.0;78.0;85.0;95.0;99.0;101.0;106.0;111.0;113.0;114.0;116.0;119.0;119.0;119.0;120.0;121.0;121.0;121.0;122.0;123.0;123.0;123.0;123.0;124.0;124.0;125.0;125.0;125.0;127.0;127.0;127.0;127.0;127.0;128.0;129.0;130.0;130.0;130.0;131.0;131.0;131.0;131.0;131.0;132.0;132.0;132.0;132.0;133.0;136.0;136.0;137.0;137.0;137.0;138.0;138.0;138.0;138.0;138.0;138.0;138.0;138.0;138.0;138.0;138.0;140.0;140.0;144.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;151.0;151.0;151.0;152.0;152.0;153.0;153.0;153.0;153.0;153.0;153.0;153.0;153.0;153.0;153.0;155.0;155.0;156.0;159.0;159.0;159.0;159.0;159.0;159.0;159.0;159.0;159.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;160.0;161.0;161.0;161.0;161.0;163.0;165.0;166.0;166.0;166.0;168.0;169.0;170.0;172.0;172.0;172.0;172.0;173.0;174.0;174.0;175.0;176.0;177.0;177.0;180.0;180.0;181.0;181.0;182.0;183.0;184.0;187.0;188.0;188.0;188.0;188.0;190.0;190.0;192.0;192.0;193.0;194.0;194.0;194.0;194.0;196.0;198.0;199.0;200.0;203.0;203.0;203.0;203.0;203.0;205.0;205.0;205.0;205.0;206.0
Nordland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;4.0;5.0;8.0;9.0;10.0;12.0;12.0;14.0;18.0;18.0;18.0;20.0;22.0;23.0;28.0;29.0;37.0;43.0;46.0;49.0;50.0;61.0;65.0;71.0;73.0;74.0;75.0;76.0;80.0;87.0;90.0;90.0;93.0;97.0;97.0;102.0;106.0;109.0;109.0;109.0;110.0;110.0;110.0;111.0;112.0;113.0;114.0;114.0;114.0;114.0;114.0;115.0;115.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;116.0;117.0;117.0;117.0;117.0;117.0;117.0;117.0;119.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;120.0;121.0;121.0;121.0;121.0;121.0;121.0;121.0;121.0;121.0;121.0;121.0;121.0;122.0;122.0;123.0;124.0;124.0;124.0;124.0;124.0;124.0;125.0;125.0;125.0;125.0;126.0;126.0;126.0;127.0;127.0;127.0;127.0;127.0;127.0;128.0;128.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;129.0;130.0;130.0;130.0;130.0;131.0;131.0;131.0;133.0;136.0;138.0;138.0;138.0;138.0;138.0;140.0;140.0;143.0;143.0;145.0;145.0;145.0;150.0;155.0;164.0;166.0;172.0;173.0;176.0;177.0;177.0;181.0;181.0;181.0;181.0;181.0;182.0;184.0;184.0;184.0;185.0;185.0;185.0;186.0;187.0;189.0;191.0;196.0;197.0;197.0;201.0;203.0;203.0;204.0;205.0;206.0;206.0;206.0;206.0;206.0;206.0;206.0;206.0;210.0
Oslo;0.0;0.0;0.0;0.0;0.0;2.0;3.0;3.0;7.0;7.0;10.0;15.0;17.0;19.0;29.0;33.0;46.0;91.0;161.0;206.0;255.0;280.0;302.0;322.0;353.0;394.0;442.0;490.0;580.0;633.0;688.0;763.0;857.0;943.0;1051.0;1148.0;1201.0;1240.0;1320.0;1395.0;1463.0;1541.0;1602.0;1638.0;1665.0;1714.0;1767.0;1809.0;1858.0;1888.0;1926.0;1959.0;1991.0;2032.0;2076.0;2100.0;2137.0;2154.0;2180.0;2217.0;2247.0;2283.0;2296.0;2311.0;2320.0;2339.0;2357.0;2376.0;2388.0;2401.0;2423.0;2431.0;2453.0;2469.0;2488.0;2502.0;2513.0;2530.0;2534.0;2538.0;2545.0;2549.0;2554.0;2563.0;2567.0;2570.0;2570.0;2575.0;2580.0;2586.0;2597.0;2608.0;2614.0;2617.0;2622.0;2624.0;2630.0;2636.0;2639.0;2639.0;2641.0;2645.0;2669.0;2674.0;2689.0;2710.0;2716.0;2724.0;2729.0;2737.0;2750.0;2756.0;2762.0;2766.0;2772.0;2779.0;2802.0;2806.0;2813.0;2820.0;2825.0;2827.0;2834.0;2840.0;2846.0;2851.0;2856.0;2863.0;2864.0;2870.0;2876.0;2879.0;2881.0;2885.0;2886.0;2886.0;2887.0;2890.0;2895.0;2899.0;2903.0;2907.0;2907.0;2913.0;2916.0;2920.0;2922.0;2927.0;2928.0;2931.0;2936.0;2938.0;2941.0;2943.0;2948.0;2952.0;2952.0;2960.0;2965.0;2972.0;2981.0;2995.0;2997.0;3004.0;3016.0;3032.0;3057.0;3079.0;3104.0;3115.0;3124.0;3139.0;3148.0;3164.0;3185.0;3208.0;3226.0;3233.0;3250.0;3273.0;3293.0;3309.0;3325.0;3338.0;3347.0;3375.0;3395.0;3405.0;3421.0;3446.0;3458.0;3469.0;3496.0;3522.0;3545.0;3562.0;3581.0;3599.0;3613.0;3645.0;3679.0;3711.0;3757.0;3786.0;3811.0;3835.0;3871.0;3930.0;3984.0;4038.0;4072.0;4088.0;4091.0;4091.0;4091.0;4091.0;4091.0;4091.0;4091.0;4388.0
Rogaland;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;6.0;9.0;13.0;16.0;20.0;31.0;71.0;105.0;133.0;152.0;163.0;165.0;171.0;186.0;202.0;219.0;242.0;266.0;273.0;276.0;294.0;308.0;315.0;325.0;333.0;344.0;348.0;357.0;360.0;366.0;373.0;375.0;377.0;378.0;380.0;384.0;385.0;385.0;386.0;386.0;387.0;388.0;389.0;390.0;392.0;393.0;393.0;393.0;396.0;398.0;398.0;420.0;421.0;421.0;421.0;429.0;429.0;433.0;433.0;433.0;433.0;433.0;434.0;434.0;435.0;435.0;435.0;435.0;435.0;435.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;436.0;437.0;437.0;437.0;437.0;437.0;438.0;439.0;439.0;440.0;440.0;440.0;441.0;441.0;441.0;441.0;441.0;441.0;441.0;441.0;441.0;442.0;442.0;442.0;442.0;442.0;442.0;442.0;442.0;443.0;443.0;443.0;443.0;443.0;444.0;444.0;444.0;444.0;444.0;444.0;444.0;444.0;444.0;445.0;445.0;445.0;448.0;450.0;450.0;450.0;450.0;451.0;451.0;451.0;452.0;453.0;453.0;454.0;456.0;457.0;457.0;460.0;462.0;465.0;466.0;471.0;472.0;472.0;476.0;476.0;479.0;485.0;486.0;487.0;489.0;494.0;498.0;503.0;503.0;505.0;506.0;508.0;511.0;513.0;513.0;515.0;518.0;521.0;522.0;522.0;523.0;525.0;527.0;529.0;529.0;533.0;539.0;543.0;547.0;552.0;554.0;558.0;561.0;567.0;571.0;574.0;575.0;577.0;578.0;586.0;592.0;597.0;598.0;601.0;604.0;604.0;604.0;604.0;604.0;604.0;604.0;604.0;604.0;697.0
Troms og Finnmark;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;5.0;5.0;5.0;6.0;6.0;9.0;13.0;14.0;20.0;25.0;26.0;27.0;30.0;33.0;35.0;39.0;55.0;60.0;74.0;93.0;103.0;124.0;134.0;149.0;154.0;157.0;163.0;168.0;174.0;180.0;183.0;185.0;185.0;188.0;190.0;191.0;192.0;194.0;198.0;201.0;205.0;206.0;211.0;214.0;219.0;224.0;227.0;229.0;230.0;233.0;233.0;234.0;234.0;235.0;239.0;242.0;242.0;244.0;244.0;247.0;248.0;248.0;250.0;251.0;251.0;251.0;252.0;252.0;252.0;252.0;252.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;253.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;254.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;256.0;257.0;257.0;257.0;257.0;257.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;258.0;289.0;290.0;291.0;294.0;294.0;296.0;300.0;300.0;300.0;300.0;301.0;302.0;308.0;310.0;312.0;314.0;317.0;317.0;318.0;320.0;320.0;320.0;320.0;320.0;322.0;322.0;322.0;322.0;322.0;323.0;323.0;325.0;326.0;326.0;327.0;327.0;327.0;327.0;328.0;329.0;329.0;330.0;332.0;333.0;333.0;333.0;334.0;335.0;335.0;335.0;335.0;335.0;335.0;335.0;335.0;335.0;335.0;335.0;339.0
Trøndelag;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;12.0;17.0;17.0;18.0;23.0;38.0;54.0;64.0;67.0;70.0;79.0;87.0;96.0;100.0;119.0;140.0;169.0;189.0;191.0;213.0;236.0;256.0;277.0;295.0;310.0;313.0;323.0;333.0;345.0;354.0;362.0;363.0;367.0;371.0;382.0;385.0;387.0;394.0;394.0;397.0;399.0;400.0;404.0;408.0;412.0;415.0;416.0;417.0;426.0;428.0;439.0;448.0;455.0;465.0;468.0;471.0;475.0;479.0;493.0;494.0;498.0;503.0;505.0;510.0;513.0;514.0;515.0;516.0;518.0;520.0;520.0;522.0;523.0;527.0;528.0;529.0;529.0;530.0;530.0;530.0;530.0;530.0;530.0;532.0;532.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;533.0;534.0;534.0;534.0;535.0;535.0;535.0;537.0;537.0;537.0;537.0;537.0;537.0;537.0;537.0;537.0;537.0;538.0;538.0;538.0;538.0;538.0;538.0;539.0;539.0;539.0;539.0;539.0;539.0;540.0;541.0;543.0;545.0;545.0;545.0;545.0;546.0;549.0;549.0;550.0;550.0;551.0;552.0;554.0;554.0;556.0;556.0;556.0;557.0;560.0;564.0;567.0;571.0;574.0;579.0;581.0;586.0;587.0;587.0;590.0;594.0;598.0;601.0;609.0;615.0;615.0;619.0;621.0;621.0;621.0;622.0;624.0;625.0;625.0;626.0;626.0;626.0;627.0;627.0;627.0;629.0;632.0;632.0;633.0;636.0;637.0;637.0;639.0;641.0;643.0;646.0;648.0;652.0;654.0;654.0;655.0;657.0;660.0;661.0;664.0;664.0;664.0;664.0;664.0;672.0
Vestfold og Telemark;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;3.0;3.0;4.0;7.0;21.0;35.0;46.0;60.0;65.0;68.0;72.0;78.0;87.0;99.0;99.0;107.0;109.0;114.0;125.0;134.0;143.0;151.0;162.0;171.0;176.0;185.0;191.0;195.0;208.0;218.0;224.0;229.0;234.0;236.0;239.0;240.0;241.0;247.0;248.0;250.0;251.0;252.0;259.0;260.0;261.0;261.0;261.0;262.0;265.0;268.0;268.0;269.0;269.0;269.0;271.0;272.0;273.0;273.0;273.0;273.0;273.0;274.0;275.0;276.0;276.0;276.0;276.0;276.0;278.0;279.0;279.0;280.0;280.0;280.0;280.0;282.0;282.0;283.0;284.0;284.0;284.0;284.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;286.0;286.0;286.0;288.0;288.0;288.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;290.0;291.0;291.0;291.0;294.0;294.0;294.0;294.0;294.0;294.0;294.0;294.0;294.0;294.0;294.0;294.0;295.0;296.0;296.0;296.0;296.0;297.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;299.0;300.0;300.0;301.0;301.0;303.0;306.0;306.0;310.0;310.0;312.0;312.0;312.0;314.0;314.0;317.0;319.0;324.0;326.0;327.0;331.0;332.0;333.0;337.0;340.0;342.0;343.0;346.0;348.0;348.0;349.0;350.0;351.0;351.0;352.0;353.0;354.0;356.0;356.0;357.0;360.0;361.0;364.0;365.0;367.0;368.0;368.0;370.0;371.0;375.0;376.0;376.0;378.0;379.0;384.0;385.0;389.0;389.0;394.0;395.0;397.0;397.0;403.0;404.0;406.0;406.0;406.0;406.0;413.0
Vestland;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;6.0;10.0;13.0;19.0;24.0;28.0;30.0;30.0;31.0;52.0;70.0;86.0;113.0;129.0;135.0;151.0;176.0;195.0;217.0;253.0;289.0;305.0;313.0;353.0;384.0;417.0;444.0;466.0;480.0;482.0;509.0;525.0;538.0;559.0;580.0;585.0;588.0;620.0;634.0;650.0;670.0;672.0;706.0;713.0;721.0;756.0;772.0;787.0;797.0;804.0;805.0;811.0;822.0;828.0;831.0;838.0;841.0;842.0;853.0;857.0;860.0;864.0;865.0;868.0;870.0;870.0;872.0;873.0;874.0;875.0;876.0;876.0;877.0;877.0;877.0;877.0;877.0;877.0;877.0;878.0;879.0;879.0;879.0;880.0;880.0;880.0;880.0;880.0;880.0;880.0;880.0;880.0;880.0;880.0;881.0;882.0;882.0;883.0;883.0;883.0;885.0;885.0;885.0;885.0;885.0;885.0;885.0;885.0;885.0;887.0;887.0;887.0;887.0;887.0;890.0;890.0;890.0;891.0;891.0;891.0;891.0;893.0;893.0;894.0;894.0;894.0;894.0;894.0;894.0;894.0;894.0;896.0;896.0;896.0;896.0;896.0;896.0;896.0;896.0;899.0;899.0;899.0;899.0;900.0;902.0;902.0;903.0;903.0;903.0;904.0;906.0;918.0;923.0;929.0;930.0;931.0;933.0;933.0;937.0;943.0;944.0;944.0;945.0;948.0;951.0;955.0;959.0;966.0;967.0;968.0;970.0;975.0;992.0;1004.0;1020.0;1033.0;1038.0;1051.0;1060.0;1069.0;1073.0;1099.0;1104.0;1119.0;1161.0;1175.0;1197.0;1221.0;1254.0;1269.0;1289.0;1331.0;1365.0;1411.0;1460.0;1499.0;1520.0;1545.0;1576.0;1600.0;1624.0;1640.0;1655.0;1655.0;1655.0;1655.0;1655.0;1655.0;1655.0;1655.0;1655.0;1804.0
